stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2451,2451,General Meyer at General Collins,GENERAL COLLINS AVE & GENERAL MEYER AVE,29.937052,-90.014492,,,,,,0
2452,2452,General Meyer at Richland,RICHLAND RD & GENERAL MEYER AVE,29.937855,-90.01628,,,,,,0
2453,2453,General Meyer at Wiltz,WILTZ LN & GENERAL MEYER AVE,29.938516,-90.017787,,,,,,0
2454,2454,General Meyer at Flanders,FLANDERS ST & GENERAL MEYER AVE,29.939578,-90.020188,,,,,,0
2455,2455,General Meyer at Odeon,ODEON AVE & LAMARQUE ST,29.940623,-90.022423,,,,,,0
2456,2456,General Meyer at Southlawn,GENERAL MEYER AVE & SOUTHLAWN BLVD,29.941621,-90.025124,,,,,,0
2457,2209,General Meyer at Pace,GENERAL MEYER AVE & UNNAMED ST,29.942603,-90.027183,,,,,,0
2458,2210,General Meyer at Florence Park,GENERAL MEYER AVE & DEBORAH AVE,29.943468,-90.029427,,,,,,0
2459,2211,General Meyer at Shirley,SHIRLEY DR & GENERAL MEYER AVE,29.944216,-90.031422,,,,,,0
2460,2212,General Meyer at Farragut,GENERAL MEYER AVE & UNNAMED ST,29.944937,-90.033583,,,,,,0
2461,2213,General Meyer at Behrman,GENERAL MEYER AVE & BEHRMAN AVE,29.945058,-90.036674,,,,,,0
2463,2292,Newton at Whitney,NEWTON ST & LA-428,29.945084,-90.041039,,,,,,0
2464,2216,L B Landry at De Armas,LB LANDRY AVE & DE ARMAS ST,29.942497,-90.041169,,,,,,0
2465,2217,L B Landry at Ptolemy,PTOLEMY ST & LB LANDRY AVE,29.940062,-90.041413,,,,,,0
2466,2218,L B at Mardi Gras Blvd,LB LANDRY AVE & CRESCENT CITY CONNECTION,29.937772,-90.041483,,,,,,0
2467,2219,L B Landry at Hero,LB LANDRY AVE & UNNAMED ST,29.933048,-90.041818,,,,,,0
2468,2468,General DeGaulle at Marr,,29.930382,-90.037386,,,,,,0
2469,6272,L B Landry at Wall Blvd,WALL BLVD & WAGNER ST,29.934492,-90.04137,,,,,,0
2470,2225,L B Landry at 1758 L B Landry,LB LANDRY AVE & SEMMES ST,29.935601,-90.041283,,,,,,0
2472,2472,L B Landry at Ptolemy,LB LANDRY AVE & PTOLEMY ST,29.93992,-90.040894,,,,,,0
2473,2473,L B Landry at De Armas,LB LANDRY  & DE ARMAS & LAMARQUE ST,29.942967,-90.040788,,,,,,0
2475,2230,Newton at Hendee,NEWTON ST & HENDEE ST,29.944976,-90.038913,,,,,,0
2476,2231,Newton at Behrman,NEWTON ST & GENERAL MEYER AVE,29.94484,-90.037077,,,,,,0
2477,2232,General Meyer at Farragut,GENERAL MEYER AVE & FARRAGUT ST,29.944691,-90.034017,,,,,,0
2478,2233,General Meyer at Shirley,GENERAL MEYER AVE & SHIRLEY DR,29.944107,-90.031754,,,,,,0
2479,2234,General Meyer at Florence,GENERAL MEYER AVE & SHIRLEY DR,29.943376,-90.029925,,,,,,0
2480,2235,General Meyer at Touro Shakespeare,GENERAL MEYER AVE & AVENUE K,29.942832,-90.028532,,,,,,0
2481,2236,General Meyer at Pace,GENERAL MEYER AVE & PACE BLVD,29.942377,-90.02742,,,,,,0
2482,2237,General Meyer at Southlawn,GENERAL MEYER AVE & SOUTHLAWN BLVD,29.941503,-90.025227,,,,,,0
2483,2238,General Meyer at Odeon,GENERAL MEYER AVE & SOCRATES ST,29.940487,-90.022692,,,,,,0
2484,2239,General Meyer at Flanders,FLANDERS ST & GENERAL MEYER AVE,29.939442,-90.020384,,,,,,0
2485,2240,General Meyer at Lees Lane,LEES LN & GENERAL MEYER AVE,29.938353,-90.017983,,,,,,0
2486,2241,General Meyer at Richland,RICHLAND RD & GENERAL MEYER AVE,29.937674,-90.016476,,,,,,0
2487,2242,General Meyer at General Collins,GENERAL COLLINS AVE & GENERAL MEYER AVE,29.936898,-90.014689,,,,,,0
2488,GmHd,General Meyer at Holiday,GENERAL MEYER AVE & HOLIDAY DR,29.936238,-90.013088,,,,,,0
2489,2244,General Meyer at Easter,GENERAL MEYER AVE & EASTER LN,29.93538,-90.011155,,,,,,0
2490,2245,General Meyer at St Nick,GENERAL MEYER AVE & ST NICK DR,29.934729,-90.009659,,,,,,0
2491,2246,General Meyer at Jo Ellen Smith,GENERAL MEYER AVE & UNNAMED ST,29.934193,-90.008453,,,,,,0
2492,2247,General Meyer at Kabel,GENERAL MEYER AVE & KABEL DR,29.93372,-90.007404,,,,,,0
2493,2248,General Meyer at River Oaks,RIVER OAKS DR & UNNAMED ST,29.93263,-90.004961,,,,,,0
2494,2249,General Meyer at Huntlee,HUNTLEE DR & GENERAL MEYER AVE,29.931773,-90.003101,,,,,,0
2495,2250,General Meyer at Bristol,GENERAL MEYER AVE & BRISTOL PL,29.931086,-90.001449,,,,,,0
2496,2251,General Meyer at Ramsey,GENERAL MEYER AVE & RAMSEY DR,29.930309,-89.999662,,,,,,0
2497,2252,General Meyer at Danbury,GENERAL MEYER AVE & DANBURY DR,29.929416,-89.997656,,,,,,0
2498,2253,General Meyer at Chelsea,GENERAL MEYER AVE & CHELSEA DR,29.928701,-89.996035,,,,,,0
